손  익  계  산  서,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제 5 기  2021년 1월 1일부터 2021년 12월 31일까지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제 4 기  2020년 1월 1일부터 2020년 12월 31일까지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 서울교통공사 ,,,,,0,"-965,535,739,188 ","-965,535,739,188 ", (단위 : 원) ,,,,,,,,,,,,,,,,,,,,
 ,과        목,,,, 제 5 기 ,, 제 4 기 ,,,,,,,,,,,,,,,,,,,,,
Ⅰ.,매출액,,,,," 1,629,129,144,211 ",," 1,559,524,670,022 ",,영업수익,총수익,"16,802","16,102",700,"16,291","15,595",,,,0,"16,291",0,"15,595",,0,696,,
,1.,운영사업수익,,,," 1,525,271,432,884 ",," 1,469,318,644,820 ",,운수사업수익,총비용,"26,447","27,239",-793,"12,542","11,932",,,,0,"15,253",0,"14,693",,0,560,,
,,(1),운수사업수익,," 1,254,230,789,869 ",," 1,193,190,739,339 ",,,부대사업수익,순이익,"-9,644","-11,137","1,493","1,782","1,830",,,,"12,542",0,"11,932",0,,610,0,,
,,(2),부대사업수익,," 178,198,352,208 ",," 182,975,978,871 ",,,기타사업수익,,,,,928,932,,,,"1,782",0,"1,830",0,,-48,0,,
,,(3),기타사업수익,," 92,842,290,807 ",," 93,151,926,610 ",,,수탁사업수익,,,,,"1,039",902,,,,928,0,932,0,,-3,0,,
,2.,수탁사업수익,,,," 103,857,711,327 ",," 90,206,025,202 ",,,,,,,,,,,,0,"1,039",0,902,,0,137,,
,,(1),운수사업수익,," 26,319,727,085 ",," 26,703,961,010 ",,,영업외수익,,,,,511,507,,,,263,0,267,0,,-4,0,,
,,(2),부대사업수익,," 1,926,207,052 ",," 2,227,967,822 ",,,이자수익,,,,,21,14,,,,19,0,22,0,,-3,0,,
,,(3),기타사업수익,," 86,898,905 ",," 87,488,579 ",,,자산수증이익,,,,,5,117,,,,1,0,1,0,,0,0,,
,,(4),대행사업수익,," 75,524,878,285 ",," 61,186,607,791 ",,,잡이익,,,,,300,#REF!,,,,755,0,612,0,,143,0,,
