"기관별(1)",기관별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"기관별(1)",기관별(2),매출액 (A),매출액 (A),매출액 (A),매출액 (A),매출액 (A),매출액 (A),매출액 (A),매출액 (A),매출액 (A),매출액 (A),매출액 (A),매출원가 (B),매출원가 (B),매출원가 (B),매출원가 (B),매출원가 (B),매출원가 (B),매출원가 (B),매출원가 (B),매출원가 (B),매출원가 (B),매출원가 (B),매출총이익 (C=A-B),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),판매비와관리비 (D),영업손익 (E=C-D),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외수익 (F),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),영업외비용 (G),법인세차감전순손익(H=E+F-G),법인세(I),법인세(I),당기순손익(J=H-I)
"기관별(1)",기관별(2),소계,상품판매수익,제품매출수익,기타재고자산판매수익,관리사업수익,관리사업부대수입,대행사업수익,운수수익,부대시설임대수익,기타임대수익,기타매출액,소계,상품판매원가,제품매출원가,기타재고자산판매원가,관리사업원가,관리사업부대원가,대행사업원가,운수사업원가,부대시설임대사업원가,기타임대사업원가,기타매출원가,소계,소계,인건비,퇴직급여(퇴직급여충당부채환입),퇴직연금부담금,일반운영비,세금과공과,여비,업무추진비,재료비,연구개발비,복리후생비,교육훈련비,수선유지교체비,동력비,행사홍보비,관서업무비,평가금및성과급등,감가상각비,무형자산상각비,대손상각비(대손충당금환입),일반보상금,포상금,배상금,출연금,기타판매비와관리비,소계,소계,이자수익,배당금수익,정부보조금수익,투자자산처분이익,유형자산처분이익,무형자산처분이익,기타비유동자산처분이익,투자자산평가이익,수탁자산처분이익,투자자산손상차손환입,유형자산손상차손환입,무형자산손상차손환입,기타비유동자산손상차손환입,수탁자산손상차손환입,기타대손충당금환입,부채성충당부채환입,지분법이익,외화환산이익,외환차익,자산수증이익,전기오류수정이익,채무면제이익,임대료수익,임대관리수익,불용품매각수익,변상금및위약금수익,기타영업외수익,소계,이자비용,외환차손,외화환산손실,재고자산평가손실,투자자산평가손실,기부금,반환금,지분법손실,투자자산처분손실,유형자산처분손실,무형자산처분손실,기타비유동자산처분손실,수탁자산처분손실,투자자산손상차손,유형자산손상차손,무형자산손상차손,기타비유동자산손상차손,수탁자산손상차손,기타대손상각비,부채성충당부채전입액,전기오류수정손실,지방공기업최고경영자협의체부담금,기타영업외비용,소계,소계,법인세비용,소계
"합계",소계,2258696502066,0,0,0,0,0,132514668050,1768918420910,209242618769,0,148020794337,4131474966169,0,0,0,2298984346164,0,132514668050,1672711767332,0,0,27264184623,-1872778464103,298131578452,126815087164,19841824969,0,1591094151,2705326293,586720319,282276923,0,354361780,22485419316,2075528887,3283040126,1064208088,1627411566,408745955,10011988230,9626502619,4456323921,7709195571,287236303,1557652694,56524080612,120600000,24716952965,-2170910042555,665457609678,4475655061,0,589092222327,0,2942003120,0,94221522,0,0,0,0,0,0,0,778221711,0,13006109532,0,0,3101662069,0,0,224908223,1459780976,3217734703,10926779744,36138310690,103715945120,63873944666,0,0,0,0,87200000,0,189320740,0,4980284752,0,2490136297,0,0,765816012,16671000,0,0,6795408487,12380039508,0,0,12137123658,-1609168377997,0,0,-1609168377997
"광역시",소계,2258696502066,0,0,0,0,0,132514668050,1768918420910,209242618769,0,148020794337,4131474966169,0,0,0,2298984346164,0,132514668050,1672711767332,0,0,27264184623,-1872778464103,298131578452,126815087164,19841824969,0,1591094151,2705326293,586720319,282276923,0,354361780,22485419316,2075528887,3283040126,1064208088,1627411566,408745955,10011988230,9626502619,4456323921,7709195571,287236303,1557652694,56524080612,120600000,24716952965,-2170910042555,665457609678,4475655061,0,589092222327,0,2942003120,0,94221522,0,0,0,0,0,0,0,778221711,0,13006109532,0,0,3101662069,0,0,224908223,1459780976,3217734703,10926779744,36138310690,103715945120,63873944666,0,0,0,0,87200000,0,189320740,0,4980284752,0,2490136297,0,0,765816012,16671000,0,0,6795408487,12380039508,0,0,12137123658,-1609168377997,0,0,-1609168377997
"광역시",서울교통공사,1629129144211,0,0,0,0,0,103857711327,1254230789869,178198352208,0,92842290807,2402842057491,0,0,0,2298984346164,0,103857711327,0,0,0,0,-773712913280,164796966710,54488580170,5595372590,0,0,1065812937,45259143,77285276,0,178434457,9866952841,365623521,228352137,197226294,282101161,279375981,7822092920,4526402286,2912916035,6678199452,16138413,1333085885,56524080612,45000000,12268674599,-938509879990,51088983887,2136497051,0,0,0,2651933290,0,0,0,0,0,0,0,0,0,778221711,0,12505008267,0,0,481651000,0,0,0,0,2529040299,10286899375,19719732894,77019488858,59391290433,0,0,0,0,60000000,0,0,0,892618941,0,0,0,0,765816012,16671000,0,0,6795408487,0,0,0,9097683985,-964440384961,0,0,-964440384961
"광역시",부산교통공사,229891729821,0,0,0,0,0,0,194836534191,0,0,35055195630,676847323368,0,0,0,0,0,0,676847323368,0,0,0,-446955593547,46279397847,27660872051,2977305470,0,0,495428031,57430880,40262410,0,0,4683228792,329852206,1781341382,194317930,246564227,0,0,1585130273,977027869,1031022347,1700000,47943289,0,0,4169970690,-493234991394,311098042699,436807771,0,304602000000,0,251418101,0,0,0,0,0,0,0,0,0,0,0,192421195,0,0,2602660069,0,0,0,0,531402330,489668555,1991664678,12521532452,2861843767,0,0,0,0,0,0,0,0,0,0,2490136297,0,0,0,0,0,0,0,7103281698,0,0,66270690,-194658481147,0,0,-194658481147
"광역시",대구도시철도공사,159581351881,-,-,-,-,-,-,145732194997,12616043028,-,1233113856,444751259826,-,-,-,-,-,-,444751259826,-,-,-,-285169907945,37798571036,22794442420,2512775760,-,-,259490075,375494939,37651987,-,68106493,3967148565,90973276,637453507,146874045,329817633,-,-,1394516616,145732788,-26228,33789602,107503520,-,-,4896826038,-322968478981,136359480615,503908891,-,134417258427,-,37924741,-,94221522,-,-,-,-,-,-,-,-,-,308680070,-,-,-,-,-,-,-,-,97490274,899996690,6927601788,343890329,-,-,-,-,21000000,-,95309052,-,1183946597,-,-,-,-,-,-,-,-,-,5274108230,-,-,9347580,-193536600154,-,-,-193536600154
"광역시",인천교통공사,169756326946,0,0,0,0,-,28656956723,112459891288,10699907287,0,17939571648,397196049050,0,0,0,0,0,28656956723,341274907704,0,0,27264184623,-227439722104,28347502806,9808222870,7048863599,0,564749697,457533560,45726818,77077560,0,107820830,2240323893,1157440364,483785970,0,372232545,107363946,2189895310,959537509,58481611,0,211814313,25520000,0,45000000,2386112411,-255787224910,80741766587,853883431,0,66819056180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860439110,0,52721540,12155666326,3214510904,1276605322,0,0,0,0,6200000,0,94011688,0,896535217,0,0,0,0,0,0,0,0,0,0,0,0,941158677,-178259969227,0,0,-178259969227
"광역시",광주광역시도시철도공사,24526310993,-,-,-,-,-,-,20378715775,3616634710,-,530960508,101991972392,-,-,-,-,-,-,101991972392,-,-,-,-77465661399,9634136938,5707045580,948654660,-,-,300249910,12313000,32703990,-,-,1020740666,-,102213430,299070990,28516000,22006028,-,104707919,78837967,-,21105775,34600000,-,30600000,890771023,-87099798337,54472507024,382339437,-,52678180080,-,334727,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17351000,-,-,-,462237437,-,-,932064343,4017600339,296165,-,-,-,-,-,-,-,-,2007123978,-,-,-,-,-,-,-,-,-,-,-,-,2010180196,-36644891652,0,0,-36644891652
"광역시",대전교통공사,45811638214,0,0,0,0,0,0,41280294790,4111681536,0,419661888,107846304042,0,0,0,0,0,0,107846304042,0,0,0,-62034665828,11275003115,6355924073,758852890,0,1026344454,126811780,50495539,17295700,0,0,707024559,131639520,49893700,226718829,368180000,0,0,1056208016,283327651,0,2688200,9000000,0,0,104598204,-73309668943,31696828866,162218480,0,30575727640,0,392261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224908223,137104429,157292074,0,439185759,15210779,18650,0,0,0,0,0,0,0,0,60019,0,0,0,0,0,0,0,0,0,2649580,0,0,12482530,-41628050856,0,0,-41628050856
